"Point Set Index","Point Set Label","Point Index","Position X","Position Y","Position Z"
1,"Point Set 1",1,-0.484387,-0.884031,-1.21873
1,"Point Set 1",2,-0.620027,-0.865638,-1.08165
1,"Point Set 1",3,-0.246124,-0.842979,-1.51841
1,"Point Set 1",4,-0.313522,-0.919873,-1.1885
1,"Point Set 1",5,-0.567082,-0.90495,-1.37677
1,"Point Set 1",6,0.223307,-0.609573,-1.44151
1,"Point Set 1",7,0.0169809,-0.735647,-1.82695
1,"Point Set 1",8,-0.416929,-0.60034,-1.97254
1,"Point Set 1",9,0.254668,-0.625313,-1.55887
1,"Point Set 1",10,0.241385,-0.619158,-1.64213
1,"Point Set 1",11,0.305369,-0.635313,-1.5109
1,"Point Set 1",12,-0.26121,-0.596962,-1.91126
1,"Point Set 1",13,-0.242566,-0.530108,-1.91362
1,"Point Set 1",14,-0.271558,-0.565482,-1.94197
1,"Point Set 1",15,-0.423132,-1.29109,-1.86116
1,"Point Set 1",16,-0.249485,-0.839384,-1.95648
1,"Point Set 1",17,0.159789,-0.638793,-1.60606
1,"Point Set 1",18,0.184764,-0.636394,-1.62499
1,"Point Set 1",19,0.150108,-0.64029,-1.56774
1,"Point Set 1",20,0.309225,-1.36709,-1.16736
1,"Point Set 1",21,0.291646,-0.765481,-1.80396
1,"Point Set 1",22,0.440333,-0.767514,-1.64071
1,"Point Set 1",23,0.548318,-0.774429,-1.76044
1,"Point Set 1",24,0.63176,-0.787021,-1.91128
1,"Point Set 1",25,0.576215,-0.792346,-2.07398
1,"Point Set 1",26,0.509896,-0.796348,-2.18549
1,"Point Set 1",27,0.285135,-0.794886,-2.38095
1,"Point Set 1",28,0.160152,-0.788694,-2.42477
1,"Point Set 1",29,-0.0138813,-0.781547,-2.48197
1,"Point Set 1",30,-0.149868,-0.773847,-2.35436
1,"Point Set 1",31,-0.247706,-0.765447,-2.2466
1,"Point Set 1",32,-0.0418939,-0.759169,-2.12786
1,"Point Set 1",33,-0.812347,-0.711187,-0.839425
1,"Point Set 1",34,-0.978035,-1.42886,-1.31787
1,"Point Set 1",35,-0.113883,-1.4731,-2.42082
1,"Point Set 1",36,0.578969,-1.45921,-1.73322
1,"Point Set 1",37,-0.175988,-1.49587,-0.690413
1,"Point Set 1",38,-0.167616,-1.43608,-1.20715
1,"Point Set 1",39,0.203381,-0.580169,-1.51737
