"Point Set Index","Point Set Label","Point Index","Position X","Position Y","Position Z"
1,"Point Set 1",1,0.475667,-0.768694,-1.88697
1,"Point Set 1",2,0.568196,-0.771078,-2.00039
1,"Point Set 1",3,0.207687,-0.721926,-1.56244
1,"Point Set 1",4,0.2958,-0.800645,-1.99457
1,"Point Set 1",5,0.611304,-0.787968,-1.7472
1,"Point Set 1",6,-0.216876,-0.582225,-1.65713
1,"Point Set 1",7,-0.0570407,-0.514753,-1.2576
1,"Point Set 1",8,0.364074,-0.547959,-1.12509
1,"Point Set 1",9,-0.237936,-0.598805,-1.50695
1,"Point Set 1",10,-0.217043,-0.597541,-1.45212
1,"Point Set 1",11,-0.307081,-0.610342,-1.57896
1,"Point Set 1",12,0.219454,-0.568048,-1.20667
1,"Point Set 1",13,-0.139636,-0.507681,-1.52605
1,"Point Set 1",14,0.208136,-0.529361,-1.20429
1,"Point Set 1",15,0.303533,-1.38447,-1.31041
1,"Point Set 1",16,0.247166,-0.75967,-1.15141
1,"Point Set 1",17,-0.138354,-0.63475,-1.48817
1,"Point Set 1",18,-0.150119,-0.630176,-1.46948
1,"Point Set 1",19,-0.115259,-0.639155,-1.5362
1,"Point Set 1",20,-0.0569871,-1.37195,-1.75201
1,"Point Set 1",21,-0.326597,-0.801419,-1.30624
1,"Point Set 1",22,-0.507881,-0.806032,-1.34464
1,"Point Set 1",23,-0.700511,-0.825158,-1.1016
1,"Point Set 1",24,-0.640657,-0.831132,-0.97258
1,"Point Set 1",25,-0.58749,-0.831118,-0.870433
1,"Point Set 1",26,-0.468157,-0.789174,-0.764223
1,"Point Set 1",27,-0.320993,-0.82519,-0.637811
1,"Point Set 1",28,-0.209417,-0.830536,-0.597555
1,"Point Set 1",29,-0.0726496,-0.823991,-0.558105
1,"Point Set 1",30,0.133252,-0.802587,-0.773301
1,"Point Set 1",31,0.0158776,-0.794971,-0.898072
1,"Point Set 1",32,-0.0695542,-0.766795,-1.00852
1,"Point Set 1",33,0.856972,-0.769182,-2.3093
1,"Point Set 1",34,1.0357,-1.50314,-1.65105
1,"Point Set 1",35,0.251391,-1.47743,-0.849858
1,"Point Set 1",36,-0.623688,-1.44177,-1.38335
1,"Point Set 1",37,0.192739,-1.44278,-2.33509
1,"Point Set 1",38,0.0971384,-1.42477,-1.87405
1,"Point Set 1",39,-0.17716,-0.600888,-1.58921
