"Point Set Index","Point Set Label","Point Index","Position X","Position Y","Position Z"
1,"Point Set 1",1,-0.104703,-0.977542,-1.54703
1,"Point Set 1",2,0.0552062,-0.909287,-1.76999
1,"Point Set 1",3,-0.237175,-0.91782,-1.33471
1,"Point Set 1",4,-0.168122,-0.985718,-1.60916
1,"Point Set 1",5,-0.0241536,-0.996557,-1.48964
1,"Point Set 1",6,-0.590833,-0.723606,-1.48796
1,"Point Set 1",7,-0.321336,-0.820773,-1.22916
1,"Point Set 1",8,0.0114481,-0.704546,-1.02957
1,"Point Set 1",9,-0.577447,-0.71998,-1.38521
1,"Point Set 1",10,-0.566034,-0.723264,-1.3541
1,"Point Set 1",11,-0.665004,-0.703859,-1.4294
1,"Point Set 1",12,-0.115441,-0.774996,-1.10228
1,"Point Set 1",13,-0.115968,-0.679033,-1.06986
1,"Point Set 1",14,-0.136363,-0.695154,-1.09585
1,"Point Set 1",15,-0.0824625,-1.38148,-1.18482
1,"Point Set 1",16,-0.148024,-0.973313,-1.21155
1,"Point Set 1",17,-0.526867,-0.763108,-1.3782
1,"Point Set 1",18,-0.53523,-0.760287,-1.35695
1,"Point Set 1",19,-0.511789,-0.771522,-1.42796
1,"Point Set 1",20,-0.400848,-1.37173,-1.44434
1,"Point Set 1",21,-0.472916,-0.913008,-1.23921
1,"Point Set 1",22,-0.571214,-0.979905,-1.26497
1,"Point Set 1",23,-0.689938,-0.951709,-1.36388
1,"Point Set 1",24,-0.760319,-1.01213,-1.19308
1,"Point Set 1",25,-0.764432,-0.987204,-1.1173
1,"Point Set 1",26,-0.717013,-1.00838,-1.04248
1,"Point Set 1",27,-0.70559,-1.20483,-1.04
1,"Point Set 1",28,-0.516215,-1.08121,-0.86208
1,"Point Set 1",29,-0.318606,-1.00694,-0.780784
1,"Point Set 1",30,-0.239358,-0.990764,-0.759565
1,"Point Set 1",31,-0.0536865,-0.970772,-0.918211
1,"Point Set 1",32,-0.238485,-0.969659,-1.00906
1,"Point Set 1",33,0.223153,-0.819136,-1.98327
1,"Point Set 1",34,0.405592,-1.48592,-1.59404
1,"Point Set 1",35,-0.0873602,-1.47447,-0.733438
1,"Point Set 1",36,-0.846691,-1.48147,-1.26388
1,"Point Set 1",37,-0.251194,-1.48895,-2.01791
1,"Point Set 1",38,-0.252005,-1.39941,-1.64574
1,"Point Set 1",39,-0.551403,-0.721245,-1.45301
