"Point Set Index","Point Set Label","Point Index","Position X","Position Y","Position Z"
1,"Point Set 1",1,-0.393602,-0.899836,-1.08637
1,"Point Set 1",2,-0.506236,-0.895728,-0.9229
1,"Point Set 1",3,-0.142128,-0.782958,-1.43863
1,"Point Set 1",4,-0.262382,-0.910093,-1.04372
1,"Point Set 1",5,-0.484694,-0.888898,-1.17558
1,"Point Set 1",6,0.250865,-0.615402,-1.30538
1,"Point Set 1",7,0.0840717,-0.559059,-1.74791
1,"Point Set 1",8,-0.404466,-0.569527,-1.75954
1,"Point Set 1",9,-0.268394,-0.594605,-1.80766
1,"Point Set 1",10,-0.239035,-0.57744,-1.76742
1,"Point Set 1",11,-0.343802,-0.613162,-1.85775
1,"Point Set 1",12,-0.260986,-0.574871,-1.69407
1,"Point Set 1",13,-0.235781,-0.538389,-1.71525
1,"Point Set 1",14,-0.268288,-0.541432,-1.71031
1,"Point Set 1",15,-0.36573,-1.33746,-1.65413
1,"Point Set 1",16,0.124972,-0.789196,-1.54181
1,"Point Set 1",17,0.176847,-0.643627,-1.43711
1,"Point Set 1",18,0.183001,-0.633207,-1.4674
1,"Point Set 1",19,0.168395,-0.64671,-1.39954
1,"Point Set 1",20,0.0885031,-1.35155,-1.35817
1,"Point Set 1",21,0.170899,-0.750925,-1.69601
1,"Point Set 1",22,0.344023,-0.67204,-1.70987
1,"Point Set 1",23,0.529039,-0.648041,-1.98308
1,"Point Set 1",24,0.343841,-0.635151,-2.11426
1,"Point Set 1",25,0.118306,-0.621823,-2.26227
1,"Point Set 1",26,-0.0769494,-0.619449,-2.00294
1,"Point Set 1",27,-0.0468616,-0.788953,-1.98401
1,"Point Set 1",28,-0.0521872,-0.784268,-1.9774
1,"Point Set 1",29,-0.0532427,-0.781893,-1.9607
1,"Point Set 1",30,-0.0480948,-0.785813,-1.94024
1,"Point Set 1",31,-0.0371026,-0.791271,-1.92174
1,"Point Set 1",32,-0.0279847,-0.81099,-1.89562
1,"Point Set 1",33,-0.658487,-0.616603,-0.697659
1,"Point Set 1",34,-0.950169,-1.45011,-1.13838
1,"Point Set 1",35,-0.295695,-1.34512,-2.24593
1,"Point Set 1",36,0.608183,-1.42369,-1.65814
1,"Point Set 1",37,-0.529589,-1.58289,-0.978777
1,"Point Set 1",38,-0.200185,-1.37418,-0.94534
1,"Point Set 1",39,-0.338774,-0.55772,-1.73734
