"Point Set Index","Point Set Label","Point Index","Position X","Position Y","Position Z"
1,"Point Set 1",1,0.398189,-0.92219,-1.86985
1,"Point Set 1",2,0.645009,-0.894727,-2.03071
1,"Point Set 1",3,0.126714,-0.855299,-1.68352
1,"Point Set 1",4,0.283108,-0.913484,-1.99356
1,"Point Set 1",5,0.494769,-0.928021,-1.70949
1,"Point Set 1",6,-0.373234,-0.59805,-1.83972
1,"Point Set 1",7,-0.208112,-0.735408,-1.43643
1,"Point Set 1",8,0.21668,-0.634836,-1.25654
1,"Point Set 1",9,-0.419142,-0.613877,-1.70097
1,"Point Set 1",10,-0.4145,-0.620461,-1.60813
1,"Point Set 1",11,-0.485878,-0.622787,-1.77889
1,"Point Set 1",12,0.0550129,-0.622509,-1.32258
1,"Point Set 1",13,0.0656925,-0.589475,-1.29614
1,"Point Set 1",14,0.0450275,-0.600857,-1.31743
1,"Point Set 1",15,0.28079,-1.24367,-1.38951
1,"Point Set 1",16,0.0779677,-0.872462,-1.27407
1,"Point Set 1",17,-0.315113,-0.63104,-1.68081
1,"Point Set 1",18,-0.346574,-0.631288,-1.66693
1,"Point Set 1",19,-0.304388,-0.629008,-1.71916
1,"Point Set 1",20,-0.237151,-1.41249,-1.9632
1,"Point Set 1",21,-0.481511,-0.761469,-1.50678
1,"Point Set 1",22,-0.597521,-0.77879,-1.71807
1,"Point Set 1",23,-0.705864,-0.778152,-1.63225
1,"Point Set 1",24,-0.841687,-0.78729,-1.49633
1,"Point Set 1",25,-0.806153,-0.785967,-1.32112
1,"Point Set 1",26,-0.773519,-0.781767,-1.19786
1,"Point Set 1",27,-0.595387,-0.785659,-0.956747
1,"Point Set 1",28,-0.472375,-0.771931,-0.875863
1,"Point Set 1",29,-0.353339,-0.778693,-0.798966
1,"Point Set 1",30,-0.160683,-0.772371,-0.88847
1,"Point Set 1",31,-0.0464168,-0.772418,-0.969378
1,"Point Set 1",32,-0.203338,-0.766893,-1.12818
1,"Point Set 1",33,0.83646,-0.379891,-2.10387
1,"Point Set 1",34,0.896868,-1.46574,-1.56999
1,"Point Set 1",35,-0.125552,-1.46119,-0.861343
1,"Point Set 1",36,-0.825754,-1.47226,-1.66557
1,"Point Set 1",37,0.222571,-1.44446,-2.4213
1,"Point Set 1",38,0.14353,-1.48867,-2.01105
1,"Point Set 1",39,-0.355256,-0.576173,-1.76926
