"Point Set Index","Point Set Label","Point Index","Position X","Position Y","Position Z"
1,"Point Set 1",1,0.236825,-1.20145,-1.73408
1,"Point Set 1",2,0.453338,-1.24315,-2.00896
1,"Point Set 1",3,0.0692355,-1.1391,-1.54899
1,"Point Set 1",4,0.214237,-1.22452,-1.85027
1,"Point Set 1",5,0.327207,-1.21223,-1.7031
1,"Point Set 1",6,-0.246339,-1.05312,-1.6832
1,"Point Set 1",7,-0.1347,-1.07718,-1.34902
1,"Point Set 1",8,0.198627,-1.05793,-1.23663
1,"Point Set 1",9,-0.267736,-1.04037,-1.56488
1,"Point Set 1",10,-0.272676,-1.04137,-1.54607
1,"Point Set 1",11,-0.320632,-1.04032,-1.64693
1,"Point Set 1",12,0.0945818,-1.07958,-1.30148
1,"Point Set 1",13,0.163381,-0.963938,-1.34621
1,"Point Set 1",14,0.0713427,-1.01972,-1.29505
1,"Point Set 1",15,0.264911,-1.18179,-1.41339
1,"Point Set 1",16,0.187839,-1.08674,-1.34306
1,"Point Set 1",17,-0.213868,-1.04651,-1.60472
1,"Point Set 1",18,-0.242403,-1.05316,-1.61108
1,"Point Set 1",19,-0.17646,-1.03185,-1.61464
1,"Point Set 1",20,-0.0346251,-1.15049,-1.89491
1,"Point Set 1",21,-0.225604,-1.12036,-1.50562
1,"Point Set 1",22,-0.295111,-1.09321,-1.56715
1,"Point Set 1",23,-0.370306,-1.09242,-1.68503
1,"Point Set 1",24,-0.356571,-1.16294,-1.45983
1,"Point Set 1",25,-0.313412,-1.11866,-1.51386
1,"Point Set 1",26,-0.326364,-1.15684,-1.45201
1,"Point Set 1",27,-0.323914,-1.22727,-1.31001
1,"Point Set 1",28,-0.328236,-1.25502,-1.20267
1,"Point Set 1",29,-0.0879341,-1.16246,-1.21651
1,"Point Set 1",30,-0.0825551,-1.18302,-1.1945
1,"Point Set 1",31,0.144003,-1.10972,-1.18443
1,"Point Set 1",32,-0.0630903,-1.12422,-1.3073
1,"Point Set 1",33,0.453772,-1.05567,-2.01215
1,"Point Set 1",34,0.631393,-1.60392,-1.74385
1,"Point Set 1",35,0.0501269,-1.56609,-1.08137
1,"Point Set 1",36,-0.485426,-1.56093,-1.5845
1,"Point Set 1",37,0.132343,-1.57244,-2.14742
1,"Point Set 1",38,-0.0731409,-1.7669,-1.92788
1,"Point Set 1",39,-0.253592,-0.981456,-1.65764
