"Point Set Index","Point Set Label","Point Index","Position X","Position Y","Position Z"
1,"Point Set 1",1,-0.304921,-0.827694,-1.93944
1,"Point Set 1",2,-0.430743,-0.824704,-2.10992
1,"Point Set 1",3,-0.0872142,-0.763082,-1.67923
1,"Point Set 1",4,-0.485238,-0.842024,-1.84778
1,"Point Set 1",5,-0.157463,-0.844382,-2.09605
1,"Point Set 1",6,-0.255048,-0.56708,-1.24598
1,"Point Set 1",7,0.168107,-0.538395,-1.35575
1,"Point Set 1",8,0.356593,-0.574592,-1.73355
1,"Point Set 1",9,-0.112242,-0.591289,-1.21257
1,"Point Set 1",10,-0.0528027,-0.593982,-1.21945
1,"Point Set 1",11,-0.187652,-0.594809,-1.15158
1,"Point Set 1",12,0.257936,-0.61201,-1.6251
1,"Point Set 1",13,0.259779,-0.55663,-1.60698
1,"Point Set 1",14,0.25064,-0.540216,-1.57525
1,"Point Set 1",15,0.129387,-1.33993,-1.88549
1,"Point Set 1",16,0.231342,-0.754143,-1.57859
1,"Point Set 1",17,-0.0961722,-0.598224,-1.29801
1,"Point Set 1",18,-0.0719547,-0.595113,-1.27511
1,"Point Set 1",19,-0.13326,-0.599632,-1.31597
1,"Point Set 1",20,-0.244792,-1.35762,-1.39514
1,"Point Set 1",21,0.154989,-0.756826,-1.17525
1,"Point Set 1",22,-0.0289967,-0.794437,-0.92868
1,"Point Set 1",23,0.161493,-0.822048,-0.698853
1,"Point Set 1",24,0.392037,-0.81955,-0.776794
1,"Point Set 1",25,0.661558,-0.824122,-0.976158
1,"Point Set 1",26,0.798527,-0.819635,-1.18502
1,"Point Set 1",27,0.735656,-0.819579,-1.32296
1,"Point Set 1",28,0.680969,-0.809345,-1.41601
1,"Point Set 1",29,0.655562,-0.810327,-1.44381
1,"Point Set 1",30,0.588875,-0.802853,-1.44328
1,"Point Set 1",31,0.509503,-0.7949,-1.38855
1,"Point Set 1",32,0.353774,-0.755447,-1.31792
1,"Point Set 1",33,-0.688721,-0.748676,-2.48728
1,"Point Set 1",34,-0.0495194,-1.45372,-2.50003
1,"Point Set 1",35,0.72732,-1.41512,-1.48692
1,"Point Set 1",36,-0.100479,-1.46069,-0.825304
1,"Point Set 1",37,-0.911092,-1.43394,-1.83983
1,"Point Set 1",38,-0.441968,-1.36585,-1.69472
1,"Point Set 1",39,-0.188299,-0.553966,-1.27023
