"Point Set Index","Point Set Label","Point Index","Position X","Position Y","Position Z"
1,"Point Set 1",1,-0.0596565,-1.13855,-1.28083
1,"Point Set 1",2,-0.205343,-1.11408,-1.16403
1,"Point Set 1",3,0.163013,-1.09733,-1.47442
1,"Point Set 1",4,-0.0173191,-1.14478,-1.22938
1,"Point Set 1",5,-0.11469,-1.15108,-1.34175
1,"Point Set 1",6,0.427886,-0.895586,-1.23101
1,"Point Set 1",7,0.253481,-0.929522,-1.55287
1,"Point Set 1",8,-0.0466646,-0.888794,-1.77378
1,"Point Set 1",9,0.459405,-0.869531,-1.32266
1,"Point Set 1",10,0.444166,-0.866321,-1.3712
1,"Point Set 1",11,0.515897,-0.851826,-1.28694
1,"Point Set 1",12,0.0549098,-0.875737,-1.69058
1,"Point Set 1",13,0.0480513,-1.02582,-1.59733
1,"Point Set 1",14,0.0960242,-0.821972,-1.59069
1,"Point Set 1",15,-0.00722384,-1.43858,-1.65709
1,"Point Set 1",16,0.0894137,-1.09926,-1.63348
1,"Point Set 1",17,0.388009,-0.942187,-1.37984
1,"Point Set 1",18,0.401171,-0.927247,-1.40142
1,"Point Set 1",19,0.373412,-0.940153,-1.33985
1,"Point Set 1",20,0.29808,-1.45244,-1.27627
1,"Point Set 1",21,0.371204,-1.11882,-1.53855
1,"Point Set 1",22,0.54442,-1.24367,-1.40389
1,"Point Set 1",23,0.621217,-1.28698,-1.50969
1,"Point Set 1",24,0.605951,-1.3051,-1.61349
1,"Point Set 1",25,0.574881,-1.29787,-1.71937
1,"Point Set 1",26,0.526951,-1.29755,-1.77853
1,"Point Set 1",27,0.460155,-1.29906,-1.83738
1,"Point Set 1",28,0.368711,-1.31028,-1.88448
1,"Point Set 1",29,0.26546,-1.28121,-1.91064
1,"Point Set 1",30,0.188145,-1.24351,-1.86943
1,"Point Set 1",31,0.129708,-1.22755,-1.81519
1,"Point Set 1",32,0.244405,-1.25401,-1.6893
1,"Point Set 1",33,-0.415111,-1.00121,-0.954024
1,"Point Set 1",34,-0.426593,-1.59072,-1.36646
1,"Point Set 1",35,0.151756,-1.6096,-1.90478
1,"Point Set 1",36,0.596929,-1.59182,-1.41003
1,"Point Set 1",37,0.00374164,-1.58053,-0.890856
1,"Point Set 1",38,0.127343,-1.47598,-1.17408
1,"Point Set 1",39,0.414978,-0.871733,-1.28854
